"","name","P","Q"
"1","calib-orig",561.777139419789,45.2725322747668
"2","calib-corrected",595.396539217384,45.7344366688578
"3","valid-orig",521.310739363392,26.8746006856657
"4","valid-corrected",553.782215651511,27.3376195928039
"5","application-orig",612.371181901643,60.2076194926882
"6","application-corrected",614.519617728022,49.1582939484043
